,video,short-term_memorability,nb_short-term_annotations,long-term_memorability,nb_long-term_annotations
0,7494,0.853886723235518,33,0.7866962410943509,12
1,7495,0.8219178391126668,34,0.7789476810983029,10
2,7496,0.8790637184624512,32,0.7715722542380673,13
3,7497,0.9084204701103222,33,0.7969874282370869,10
4,7498,0.7701622461303116,33,0.7530853313876757,10
5,7499,0.872740496009854,33,0.79830986493619,13
6,7500,0.8827767925807819,33,0.7923487873176934,10
7,7502,0.85477803347168,43,0.736994164315518,15
8,7503,0.8899513383442317,33,0.7857031506665524,11
9,7504,0.8880703730830682,33,0.7719519225752142,15
10,7505,0.8615488049760077,38,0.7971086798114584,10
11,7506,0.8301489672299412,34,0.7578573656085541,10
12,7507,0.8428347319608801,34,0.739653872242523,12
13,7508,0.8619730131789153,33,0.7818569467573843,14
14,7510,0.8692500167537622,33,0.773065056472674,11
15,7511,0.8891901670891834,34,0.7885510104493878,18
16,7513,0.8533607720295734,34,0.723554763644925,19
17,7515,0.8994176908958776,33,0.7536974171968721,13
18,7516,0.877888528507911,34,0.7741370126267216,11
19,7517,0.7848953492961757,33,0.6988223920286123,13
20,7518,0.8793022733392502,33,0.7543605925963953,10
21,7519,0.8652458020711298,32,0.785031969979898,10
22,7520,0.8628777550905211,33,0.7595061509601221,14
23,7521,0.884200444031221,34,0.7850341767712156,14
24,7522,0.8833047910498965,33,0.7986923198869033,16
25,7523,0.884232296978034,34,0.8010192386921704,14
26,7524,0.8517862489735922,50,0.7646307937180793,22
27,7525,0.8840728240391035,42,0.8012833109281693,10
28,7526,0.8559489948780269,31,0.7525787092472939,20
29,7527,0.8674069307456985,33,0.78019352285663,17
30,7528,0.8515670802162548,32,0.7580704947854116,10
31,7530,0.899806193025087,34,0.7966415012444512,11
32,7531,0.8923489812272773,33,0.8049376139867177,14
33,7532,0.8476849733880646,33,0.7925661310465076,14
34,7533,0.8621099135688536,34,0.7869320544313361,9
35,7534,0.8451594268618033,34,0.7655258726424886,10
36,7535,0.8683679261903458,34,0.7649398908087617,10
37,7536,0.8494085546947612,46,0.7670220495711104,11
38,7538,0.8907641941225579,34,0.7883620999497343,10
39,7539,0.8843847848853972,32,0.7784910936799598,10
40,7540,0.8559428628301119,33,0.7899163166439855,10
41,7541,0.86700752901819,35,0.7735063521889043,10
42,7542,0.8809505433039237,33,0.8129552118656085,12
43,7543,0.8459014238923926,33,0.7763624043508445,12
44,7544,0.8498061955127885,34,0.7307381561047744,11
45,7545,0.8849534780478292,33,0.8143387218060203,13
46,7546,0.8669499820775001,34,0.7792078876734578,14
47,7548,0.879751137527009,38,0.7891344349310935,9
48,7549,0.8754918234734451,34,0.7774012662041028,13
49,7550,0.8968842608040507,56,0.7749375442813854,21
50,7552,0.8215068789871695,32,0.7324431889040551,16
51,7554,0.8842759229471484,51,0.7862081649289008,24
52,7555,0.8016559997071016,55,0.7334539186840957,13
53,7556,0.8916493530811505,33,0.7969903462540225,19
54,7558,0.8304037666696013,33,0.7715366864722586,16
55,7560,0.8587132288533675,33,0.7878956493391196,12
56,7562,0.8564694056106357,33,0.7834284403470615,10
57,7563,0.8987943231406963,32,0.7937492005673178,16
58,7565,0.8955255162943926,34,0.8064514859371655,10
59,7566,0.8718508246261021,34,0.789186091632872,13
60,7567,0.86143204346814,32,0.7516148156062428,12
61,7568,0.8890840424967728,34,0.803320053347203,13
62,7569,0.8528105274531055,43,0.8297468777497241,10
63,7571,0.8821921334945637,32,0.7876316663982612,11
64,7572,0.897376355046172,34,0.7883608504464915,11
65,7573,0.850749170319353,37,0.7651577349545514,11
66,7574,0.8633907682482389,36,0.7304347682461482,12
67,7575,0.8592649868490742,34,0.7570134612508617,14
68,7576,0.8901021298373923,33,0.766961569865942,12
69,7578,0.8595733266651332,47,0.7839735672122172,11
70,7579,0.8486463675519879,33,0.7799021298649901,15
71,7580,0.8353593541455339,33,0.7469634228144779,17
72,7581,0.8579965189054344,33,0.7775914015450284,14
73,7582,0.8808721201095476,34,0.7963191334061613,10
74,7584,0.8671697900644968,34,0.7913128387306702,10
75,7585,0.874615139430281,41,0.8148538217492829,16
76,7587,0.8767530608220168,33,0.8044757431347603,16
77,7588,0.8769564460055179,76,0.8021079268307488,16
78,7589,0.8431260960308036,35,0.7893766878382947,11
